ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,TotalSpending,TotalChildren,Education_Encoded,Marital_Encoded,Edu_Basic,Edu_Graduate,Edu_Postgraduate,Mar_Married,Mar_Single
2174,1954,Graduation,Single,0.07718041256791502,1,1,08-03-2014,-0.4429616687024999,11,1,6,2,1,6,2,-0.9818842561992603,-0.2812885719189886,-1.042450409188469,-0.3348433106145475,0,0,0,0,0,0,3,11,0,1.3492004895398617,-0.7805871464851422,1.2303770909850422,1,0,False,True,False,False,True
4141,1965,Graduation,Together,1.4379750863275942,0,0,21-08-2013,-0.8642870113818008,426,49,127,111,21,42,1,1.8987752458267173,0.20239926431226726,1.713686770226898,-0.8190617587284341,0,0,0,0,0,0,3,11,0,0.3796313609254441,1.0752147487138888,-1.5857731763878165,1,1,False,True,False,True,False
6182,1984,Graduation,Together,-0.9836028983552778,1,0,10-02-2014,-0.8642870113818008,11,4,20,10,3,5,2,-0.5703614701955493,-0.7649764081502445,-0.3534161143346273,0.1493751374993391,0,0,0,0,0,0,3,11,0,-1.2950789521358226,-0.7161667869722252,-0.17769804270138712,1,1,False,True,False,True,False
5324,1981,PhD,Married,0.7206619732452036,1,0,19-01-2014,1.5232232638009042,173,43,118,46,27,15,5,0.6642068878155839,0.6860871005435232,0.3356181805192145,-0.3348433106145475,0,0,0,0,0,0,3,11,0,-1.030651007968254,0.1981067768841732,-0.17769804270138712,2,1,False,False,True,True,False
7446,1967,Master,Together,0.9479188303929279,0,1,09-09-2013,-1.2153914636145515,520,42,98,0,42,14,2,1.075729673819295,1.169774936774779,1.713686770226898,0.1493751374993391,0,0,0,0,0,0,3,11,0,0.20334606481373182,0.9265523806071573,-0.17769804270138712,2,1,False,False,True,True,False
965,1971,Graduation,Divorced,0.5775224646436274,0,1,13-11-2012,-0.5834034495956002,235,65,164,50,49,27,4,1.487252459823006,0.6860871005435232,0.6801353279461354,0.1493751374993391,0,0,0,0,0,0,3,11,0,-0.14922452740969272,0.6143614075830213,-0.17769804270138712,1,0,False,True,False,False,True
6177,1985,PhD,Married,-0.6169761961131671,1,0,08-05-2013,-0.6536243400421503,76,10,56,3,1,23,2,0.25268410181187284,-0.7649764081502445,-0.3534161143346273,1.1178120337271122,0,0,0,0,0,0,3,11,0,-1.3832216001916786,-0.4287528752992111,-0.17769804270138712,2,1,False,False,True,True,False
387,1976,Basic,Married,-2.0146597199074887,0,0,13-11-2012,0.2943576809862766,6,16,11,11,1,16,1,-0.5703614701955493,-0.7649764081502445,-0.6979332617615481,1.1178120337271122,0,0,0,0,0,0,3,11,0,-0.5899377676889734,-0.6963451378913277,-1.5857731763878165,0,1,True,False,False,True,False
8180,1952,Master,Divorced,0.7777993015470367,1,1,15-11-2013,0.0836950096466262,233,2,53,3,5,14,3,1.075729673819295,-0.2812885719189886,-0.008898966907706399,0.1493751374993391,0,0,0,0,0,0,3,11,0,1.5254857856515738,-0.07939631024839218,1.2303770909850422,2,0,False,False,True,False,True
2569,1987,Graduation,Married,-1.485668225177134,0,0,10-10-2012,-0.4429616687024999,3,14,17,6,1,5,1,-0.9818842561992603,-0.7649764081502445,-0.6979332617615481,1.1178120337271122,0,0,0,0,0,0,3,11,0,-1.559506896303391,-0.7335107299180105,-1.5857731763878165,1,1,False,True,False,True,False
9736,1980,Graduation,Married,-0.16483198459366627,1,1,24-12-2012,0.013474119200076047,53,5,19,2,13,4,3,-0.15883868419183825,-0.7649764081502445,-0.6979332617615481,1.1178120337271122,0,0,0,0,0,0,3,11,0,-0.9425083599123979,-0.609625423162401,1.2303770909850422,1,1,False,True,False,True,False
4939,1946,Graduation,Together,-0.38508803808518105,0,0,31-08-2012,-1.0749496827214513,84,5,38,150,12,28,2,0.25268410181187284,-0.2812885719189886,0.3356181805192145,0.6335935856132257,0,0,0,0,0,0,3,11,0,2.054341673986711,-0.06205236730260684,-1.5857731763878165,1,1,False,True,False,True,False
2278,1985,2n Cycle,Single,-0.5976970598906824,1,0,03-11-2012,1.2423397020147036,4,17,19,30,24,39,2,-0.5703614701955493,-0.2812885719189886,-0.6979332617615481,0.1493751374993391,0,0,0,0,0,0,3,11,0,-1.3832216001916786,-0.51795029616325,-0.17769804270138712,0,0,True,False,False,False,True
9360,1982,Graduation,Married,-0.4238617198734184,0,0,08-08-2012,-0.3376303330326747,86,2,73,69,38,48,1,0.25268410181187284,0.20239926431226726,-0.008898966907706399,1.1178120337271122,0,0,0,0,0,0,3,11,0,-1.1187936560241103,-0.06453007343771903,-1.5857731763878165,1,1,False,True,False,True,False
4047,1954,PhD,Married,1.0992977463745044,0,1,11-01-2014,-1.7771585871869526,384,0,102,21,32,5,3,1.075729673819295,0.20239926431226726,1.3691696227999772,-0.8190617587284341,0,0,0,0,0,0,3,11,0,1.3492004895398617,0.5003869253678604,-0.17769804270138712,2,1,False,False,True,True,False
1409,1951,Graduation,Together,-0.22735454647719897,0,1,18-03-2013,0.6454621332190273,270,3,27,39,6,99,7,1.487252459823006,-0.2812885719189886,-0.008898966907706399,1.1178120337271122,0,0,0,0,0,0,3,11,0,1.61362843370743,0.2526163118566414,-0.17769804270138712,1,1,False,True,False,True,False
7892,1969,Graduation,Single,-1.4174911680328168,0,0,02-01-2013,1.347671037684529,6,4,25,15,12,13,2,-0.5703614701955493,-0.2812885719189886,-0.6979332617615481,0.6335935856132257,0,0,0,0,0,0,3,11,0,0.02706076870201956,-0.661657251999757,-1.5857731763878165,1,0,False,True,False,False,True
2404,1976,Graduation,Married,0.45495454832414395,1,1,27-05-2013,-1.6367168062938524,173,4,30,3,6,41,4,0.6642068878155839,-0.2812885719189886,-0.3534161143346273,0.6335935856132257,0,0,0,0,0,0,3,11,0,-0.5899377676889734,-0.21071473540933827,1.2303770909850422,1,1,False,True,False,True,False
9422,1989,Graduation,Married,-0.3527766365949833,1,0,31-05-2013,-0.8642870113818008,36,2,42,20,21,10,2,-0.5703614701955493,-0.2812885719189886,-0.3534161143346273,-1.3032802068423206,0,0,0,0,0,0,3,11,0,-1.7357921924151032,-0.5229057084334743,-0.17769804270138712,1,1,False,True,False,True,False
6864,1989,Master,Divorced,-1.8273074436001586,0,0,22-05-2014,-0.5834034495956002,8,4,10,2,2,4,2,-0.15883868419183825,-0.7649764081502445,-0.6979332617615481,-0.3348433106145475,0,0,0,0,0,0,3,11,0,-1.7357921924151032,-0.7731540280798056,-1.5857731763878165,2,0,False,False,True,False,True
3033,1963,Master,Together,-0.33877502928256426,0,0,11-05-2013,0.1890263453164514,112,17,44,34,22,89,1,-0.5703614701955493,1.6534627730060347,-0.6979332617615481,-1.3032802068423206,0,0,0,0,0,0,3,11,0,0.5559166570371564,-0.059574661167494644,-1.5857731763878165,2,1,False,False,True,True,False
8755,1946,Master,Married,1.2787875816525531,0,0,20-02-2013,-1.6367168062938524,482,34,471,119,68,22,1,-0.15883868419183825,1.6534627730060347,1.3691696227999772,0.6335935856132257,0,0,0,0,0,0,3,11,0,2.054341673986711,2.115851325461009,-1.5857731763878165,2,1,False,False,True,True,False
10738,1951,Master,Single,0.24116077513066872,1,1,29-08-2013,0.15391590009317635,40,0,19,2,1,3,1,-0.5703614701955493,-0.7649764081502445,-0.6979332617615481,0.6335935856132257,0,0,0,0,0,0,3,11,0,1.61362843370743,-0.6864343133508789,1.2303770909850422,2,0,False,False,True,False,True
4339,1970,PhD,Married,1.20856413574719,0,1,31-12-2013,-0.478072113925775,702,17,151,0,8,35,5,0.6642068878155839,2.1371506092372905,2.4027210650807396,-1.7874986549562073,0,0,0,0,0,0,3,11,0,-0.06108187935383658,1.414660489224259,-0.17769804270138712,2,1,False,False,True,True,False
10755,1976,2n Cycle,Married,-1.141282537627443,1,0,02-09-2013,0.8912352497819529,6,3,14,15,7,36,3,-0.15883868419183825,-0.2812885719189886,-1.042450409188469,0.6335935856132257,0,0,0,0,0,0,3,11,0,-0.5899377676889734,-0.6467910151890839,-0.17769804270138712,0,1,True,False,False,True,False
8595,1973,Graduation,Widow,-0.13365148215562542,0,1,11-02-2014,1.6987754899172796,55,0,6,2,0,4,2,-0.9818842561992603,-0.2812885719189886,-0.6979332617615481,-0.3348433106145475,0,0,0,0,0,0,3,11,0,-0.325509823521405,-0.6814789010806546,-0.17769804270138712,1,0,False,True,False,False,True
503,1985,Master,Married,-1.3114020664733341,1,0,12-03-2013,1.3125605924612538,13,1,29,3,0,7,2,-0.5703614701955493,-0.7649764081502445,-0.6979332617615481,1.1178120337271122,0,0,0,0,0,0,3,11,0,-1.3832216001916786,-0.7161667869722252,-0.17769804270138712,2,1,False,False,True,True,False
8430,1957,Graduation,Together,-1.2341239645759445,0,1,24-12-2012,-1.6367168062938524,9,0,6,3,1,3,1,-1.3934070422029714,-0.7649764081502445,-0.6979332617615481,-0.3348433106145475,0,0,0,0,0,0,3,11,0,1.0847725453722932,-0.792975677160703,-0.17769804270138712,1,1,False,True,False,True,False
2139,1975,Master,Married,-2.0146597199074887,1,0,02-10-2013,-1.1100601279447262,3,1,10,3,2,12,3,-0.5703614701955493,-0.7649764081502445,-0.6979332617615481,-0.3348433106145475,0,0,0,0,0,0,3,11,0,-0.5017951196331173,-0.7706763219446934,-0.17769804270138712,2,1,False,False,True,True,False
7286,1968,Graduation,Together,-0.17140196956333983,1,0,24-05-2013,1.453002373354354,13,6,15,3,5,13,1,-0.5703614701955493,-0.7649764081502445,-1.042450409188469,2.0862489299548854,0,0,0,0,0,0,3,11,0,0.1152034167578757,-0.7112113747020008,-0.17769804270138712,1,1,False,True,False,True,False
6566,1954,PhD,Married,1.4884347249881196,1,1,08-11-2012,-0.4078512234792248,826,50,317,50,38,38,9,0.6642068878155839,0.20239926431226726,2.4027210650807396,1.1178120337271122,0,0,0,0,0,0,3,11,0,1.3492004895398617,2.4206091800798086,1.2303770909850422,2,1,False,False,True,True,False
8614,1957,Graduation,Widow,1.1080218247768578,0,1,12-05-2014,-0.7589556757119755,245,19,125,37,67,14,1,0.25268410181187284,0.20239926431226726,1.713686770226898,-1.7874986549562073,0,0,0,0,0,0,3,11,0,1.0847725453722932,0.4087117983687094,-0.17769804270138712,1,0,False,True,False,False,True
1331,1977,Graduation,Single,-0.49117713964466375,1,0,02-01-2013,0.11880545486990127,12,6,20,30,1,3,2,-0.5703614701955493,-0.7649764081502445,-0.6979332617615481,0.6335935856132257,0,0,0,0,0,0,3,11,0,-0.6780804157448296,-0.6690903704050936,-0.17769804270138712,1,0,False,True,False,False,True
